,am_score,bpe_lm_score,diff_config,diffusion_score,first_pass_length_penalty,first_pass_score,ngram_lm_score,ngram_lm_score_non_oov,ngram_lm_score_oov,second_pass_score,wer
2384,-0.45401123632228013,1.3375153631866485,e330_rk45_n10,0.006943629307770354,0.0,-0.8080335650719442,-1.8787477827953376,-0.032093638245916066,-0.9247381254286864,0.0,0.10089449413856326
2423,-0.6229337959812655,1.329956456487949,e330_rk45_n10,0.0066729753762002145,0.0,-0.6355355044176079,-1.6925825191618848,-0.09761338589888914,-0.022753737847485588,0.0,0.10089449413856326
3951,-0.13992632510485298,1.3042271670508847,e330_euler10_n10,3.039515769745851e-05,-0.3445819334762579,-0.3518729170849128,-0.17113659098386724,-0.7862981390584003,-0.4063819191693494,-0.46312845204984154,0.10089449413856326
946,-0.7176932274794089,1.755330321978668,e330_euler50_n10,0.0009434857617938238,-2.6047248678775925,0.0,-1.431075668192809,-0.9459988223528444,-0.7218453040293886,0.0,0.10095005278071004
3050,-0.42588239450798693,1.14672857490581,e330_rk45_n10,0.00026606951495234717,-1.1088750503611327,-1.8932749097658392,-0.6305074439560445,-0.3055998422722549,-0.5859440121804317,0.0,0.10095005278071004
4207,-0.5613010377537265,1.472309523178676,e330_euler10_n10,0.0025354619794066544,-2.9039882901407306,-0.8030918147291052,-0.2426517710667928,-0.6771428082159376,-0.7281793955684742,-1.1434093006393258,0.10095005278071004
4758,-0.4965741108748313,1.5420990885230832,e330_euler10_n10,0.0027275708927057716,-2.4607924466407707,-0.17249249271204156,-0.67670068588816,-0.8521440149279713,-0.9461642716490279,-0.8182708312981377,0.10100561142285683
2337,-0.6339433845078565,1.4710463819968953,e330_euler10_n10,0.006357706165068249,0.0,-0.7779968294448003,-1.8006204485677448,-0.03780768781294143,-0.07436452961954472,0.0,0.10100561142285683
5432,-0.4965741108748313,1.5420990885230832,e330_euler10_n10,0.0027275708927057716,-2.4607924466407707,-0.17249249271204156,-0.67670068588816,-0.8521440149279713,-0.9461642716490279,-0.8182708312981377,0.10100561142285683
2311,-0.7217899141608416,1.5235441753014685,e330_rk45_n10,0.006084415487445789,0.0,-0.7183631777191476,-1.6204283552398466,-0.027984604357835785,-0.13027504317414343,0.0,0.10100561142285683
2371,-0.6396173147227846,1.3117986148926164,e330_rk45_n10,0.006134157205081172,0.0,-0.4323680335778278,-1.6281414275086583,-0.12776770313400732,-0.022413501209718294,0.0,0.10100561142285683
2486,-0.7115328179649316,1.5083262694751292,e330_rk45_n10,0.002024074974216131,0.0,-0.7234004009525278,-0.7364103523581352,-0.5968061647421479,-0.07975174809754258,0.0,0.10100561142285683
2276,-0.7155654183923587,1.6104956296799422,e330_rk45_n10,0.006894904023374887,0.0,-0.6526675645491252,-1.8344127368603582,-0.1379132281852921,-0.07558811783469126,0.0,0.10100561142285683
